EU753,area,id,percentage,type
Bhutan,,7,,Carbon exposed zone
Bolivia,,7,,Carbon exposed zone
Bosnia and Herzegovina,,7,,Carbon exposed zone
Botswana,,7,,Carbon exposed zone
Brazil,,7,,Carbon exposed zone
Brunei Darussalam,,7,,Carbon exposed zone
Burkina Faso,,7,,Carbon exposed zone
Burundi,,7,,Carbon exposed zone
Cambodia,,7,,Carbon exposed zone
Cameroon,,7,,Carbon exposed zone
Canada,582036.199009846,7,0.0579945900930152,Carbon exposed zone
Central African Republic,,7,,Carbon exposed zone
Chad,,7,,Carbon exposed zone
Chile,,7,,Carbon exposed zone
China,20984.548321312,7,0.00222195646094768,Carbon exposed zone
Colombia,,7,,Carbon exposed zone
Costa Rica,,7,,Carbon exposed zone
Cote d'Ivoire,,7,,Carbon exposed zone
Cuba,,7,,Carbon exposed zone
Dem. Rep. Korea,,7,,Carbon exposed zone
Democratic Republic of the Congo,,7,,Carbon exposed zone
Djibouti,,7,,Carbon exposed zone
Dominican Republic,,7,,Carbon exposed zone
Ecuador,,7,,Carbon exposed zone
Egypt,,7,,Carbon exposed zone
El Salvador,,7,,Carbon exposed zone
Equatorial Guinea,,7,,Carbon exposed zone
Eritrea,,7,,Carbon exposed zone
Ethiopia,,7,,Carbon exposed zone
EU,12428102.1703614,7,2.9979711668128,Carbon exposed zone
Fiji,,7,,Carbon exposed zone
Franch_GYN,,7,,Carbon exposed zone
Gabon,,7,,Carbon exposed zone
Georgia,9223.84280959778,7,0.133585649351444,Carbon exposed zone
Ghana,,7,,Carbon exposed zone
Guatemala,,7,,Carbon exposed zone
Guinea,,7,,Carbon exposed zone
Guinea-Bissau,,7,,Carbon exposed zone
Guyana,,7,,Carbon exposed zone
Haiti,,7,,Carbon exposed zone
Honduras,,7,,Carbon exposed zone
Iceland,,7,,Carbon exposed zone
India,,7,,Carbon exposed zone
Indonesia,,7,,Carbon exposed zone
Iran,,7,,Carbon exposed zone
Iraq,,7,,Carbon exposed zone
Israel,,7,,Carbon exposed zone
Jamaica,,7,,Carbon exposed zone
Japan,,7,,Carbon exposed zone
Jordan,,7,,Carbon exposed zone
Kazakhstan,,7,,Carbon exposed zone
Kenya,,7,,Carbon exposed zone
Kingdom of eSwatini,,7,,Carbon exposed zone
Kosovo,,7,,Carbon exposed zone
Kuwait,,7,,Carbon exposed zone
Kyrgyzstan,,7,,Carbon exposed zone
Lao PDR,,7,,Carbon exposed zone
Lebanon,,7,,Carbon exposed zone
Lesotho,,7,,Carbon exposed zone
Liberia,,7,,Carbon exposed zone
Libya,,7,,Carbon exposed zone
Madagascar,,7,,Carbon exposed zone
Malawi,,7,,Carbon exposed zone
Malaysia,,7,,Carbon exposed zone
Mali,,7,,Carbon exposed zone
Mauritania,,7,,Carbon exposed zone
Mexico,134379.909411288,7,0.0682311521095501,Carbon exposed zone
Moldova,,7,,Carbon exposed zone
Mongolia,,7,,Carbon exposed zone
Montenegro,,7,,Carbon exposed zone
Morocco,,7,,Carbon exposed zone
Mozambique,,7,,Carbon exposed zone
Myanmar,,7,,Carbon exposed zone
Namibia,,7,,Carbon exposed zone
Nepal,,7,,Carbon exposed zone
New Caledonia,,7,,Carbon exposed zone
New Zealand,,7,,Carbon exposed zone
Nicaragua,,7,,Carbon exposed zone
Niger,,7,,Carbon exposed zone
Nigeria,,7,,Carbon exposed zone
North Macedonia,,7,,Carbon exposed zone
Northern Cyprus,,7,,Carbon exposed zone
Norway,53320.5584200882,7,0.133973057605888,Carbon exposed zone
Oman,,7,,Carbon exposed zone
Pakistan,,7,,Carbon exposed zone
Palestine,,7,,Carbon exposed zone
Panama,,7,,Carbon exposed zone
Papua New Guinea,,7,,Carbon exposed zone
Paraguay,,7,,Carbon exposed zone
Peru,,7,,Carbon exposed zone
Philippines,,7,,Carbon exposed zone
Puerto Rico,,7,,Carbon exposed zone
Qatar,,7,,Carbon exposed zone
Republic of Korea,,7,,Carbon exposed zone
Republic of the Congo,,7,,Carbon exposed zone
Russian Federation,162052.061826946,7,0.00952210778376597,Carbon exposed zone
Rwanda,,7,,Carbon exposed zone
Saudi Arabia,,7,,Carbon exposed zone
Senegal,,7,,Carbon exposed zone
Serbia,,7,,Carbon exposed zone
Sierra Leone,,7,,Carbon exposed zone
Solomon Islands,,7,,Carbon exposed zone
Somalia,,7,,Carbon exposed zone
Somaliland,,7,,Carbon exposed zone
South Africa,,7,,Carbon exposed zone
South Sudan,,7,,Carbon exposed zone
Sri Lanka,,7,,Carbon exposed zone
Sudan,,7,,Carbon exposed zone
Suriname,,7,,Carbon exposed zone
Switzerland,136586.041579195,7,2.95735175253933,Carbon exposed zone
Syria,,7,,Carbon exposed zone
Tajikistan,,7,,Carbon exposed zone
Tanzania,,7,,Carbon exposed zone
Thailand,,7,,Carbon exposed zone
The Gambia,,7,,Carbon exposed zone
Timor-Leste,,7,,Carbon exposed zone
Togo,,7,,Carbon exposed zone
Trinidad and Tobago,,7,,Carbon exposed zone
Tunisia,,7,,Carbon exposed zone
Turkey,9378.34624355164,7,0.0117398208817059,Carbon exposed zone
Turkmenistan,,7,,Carbon exposed zone
Uganda,,7,,Carbon exposed zone
Ukraine,64122.6409513886,7,0.111995026969728,Carbon exposed zone
United Arab Emirates,,7,,Carbon exposed zone
United Kingdom,1749540.49957565,7,6.99854303914858,Carbon exposed zone
United States,8476000.58118038,7,0.891202707391783,Carbon exposed zone
Uruguay,,7,,Carbon exposed zone
Uzbekistan,,7,,Carbon exposed zone
Vanuatu,,7,,Carbon exposed zone
Venezuela,,7,,Carbon exposed zone
Vietnam,,7,,Carbon exposed zone
Western Sahara,,7,,Carbon exposed zone
Yemen,,7,,Carbon exposed zone
Zambia,,7,,Carbon exposed zone
Zimbabwe,,7,,Carbon exposed zone
Afghanistan,,8,,Timber and diversity exposed zone
Albania,,8,,Timber and diversity exposed zone
Algeria,,8,,Timber and diversity exposed zone
Angola,,8,,Timber and diversity exposed zone
Argentina,,8,,Timber and diversity exposed zone
Armenia,,8,,Timber and diversity exposed zone
Australia,192304.3937077,8,0.0250148353891964,Timber and diversity exposed zone
Azerbaijan,,8,,Timber and diversity exposed zone
Bahamas,,8,,Timber and diversity exposed zone
Bangladesh,,8,,Timber and diversity exposed zone
Belarus,,8,,Timber and diversity exposed zone
Belize,,8,,Timber and diversity exposed zone
Benin,,8,,Timber and diversity exposed zone
Bhutan,,8,,Timber and diversity exposed zone
Bolivia,,8,,Timber and diversity exposed zone
Bosnia and Herzegovina,,8,,Timber and diversity exposed zone
Botswana,,8,,Timber and diversity exposed zone
Brazil,,8,,Timber and diversity exposed zone
Brunei Darussalam,,8,,Timber and diversity exposed zone
Burkina Faso,,8,,Timber and diversity exposed zone
Burundi,,8,,Timber and diversity exposed zone
Cambodia,,8,,Timber and diversity exposed zone
Cameroon,,8,,Timber and diversity exposed zone
Canada,2028019.34252753,8,0.20207360069816,Timber and diversity exposed zone
Central African Republic,,8,,Timber and diversity exposed zone
Chad,,8,,Timber and diversity exposed zone
Chile,,8,,Timber and diversity exposed zone
China,8257.80718242264,8,0.000874380889276008,Timber and diversity exposed zone
Colombia,,8,,Timber and diversity exposed zone
Costa Rica,,8,,Timber and diversity exposed zone
Cote d'Ivoire,,8,,Timber and diversity exposed zone
Cuba,,8,,Timber and diversity exposed zone
Dem. Rep. Korea,,8,,Timber and diversity exposed zone
Democratic Republic of the Congo,,8,,Timber and diversity exposed zone
Djibouti,,8,,Timber and diversity exposed zone
Dominican Republic,,8,,Timber and diversity exposed zone
Ecuador,,8,,Timber and diversity exposed zone
Egypt,,8,,Timber and diversity exposed zone
El Salvador,,8,,Timber and diversity exposed zone
Equatorial Guinea,,8,,Timber and diversity exposed zone
Eritrea,,8,,Timber and diversity exposed zone
Ethiopia,,8,,Timber and diversity exposed zone
EU,663742.8529006,8,0.160111488294612,Timber and diversity exposed zone
Fiji,,8,,Timber and diversity exposed zone
Franch_GYN,,8,,Timber and diversity exposed zone
Gabon,,8,,Timber and diversity exposed zone
Georgia,,8,,Timber and diversity exposed zone
Ghana,,8,,Timber and diversity exposed zone
Guatemala,,8,,Timber and diversity exposed zone
Guinea,,8,,Timber and diversity exposed zone
Guinea-Bissau,,8,,Timber and diversity exposed zone
Guyana,,8,,Timber and diversity exposed zone
Haiti,,8,,Timber and diversity exposed zone
Honduras,,8,,Timber and diversity exposed zone
Iceland,,8,,Timber and diversity exposed zone
India,,8,,Timber and diversity exposed zone
Indonesia,,8,,Timber and diversity exposed zone
Iran,,8,,Timber and diversity exposed zone
Iraq,,8,,Timber and diversity exposed zone
Israel,,8,,Timber and diversity exposed zone
Jamaica,,8,,Timber and diversity exposed zone
Japan,38877.637082798,8,0.0960843362325113,Timber and diversity exposed zone
Jordan,,8,,Timber and diversity exposed zone
Kazakhstan,,8,,Timber and diversity exposed zone
Kenya,,8,,Timber and diversity exposed zone
Kingdom of eSwatini,,8,,Timber and diversity exposed zone
Kosovo,,8,,Timber and diversity exposed zone
Kuwait,,8,,Timber and diversity exposed zone
Kyrgyzstan,,8,,Timber and diversity exposed zone
Lao PDR,,8,,Timber and diversity exposed zone
Lebanon,,8,,Timber and diversity exposed zone
Lesotho,,8,,Timber and diversity exposed zone
Liberia,,8,,Timber and diversity exposed zone
Libya,,8,,Timber and diversity exposed zone
Madagascar,,8,,Timber and diversity exposed zone
Malawi,,8,,Timber and diversity exposed zone
Malaysia,,8,,Timber and diversity exposed zone
Mali,,8,,Timber and diversity exposed zone
Mauritania,,8,,Timber and diversity exposed zone
Mexico,,8,,Timber and diversity exposed zone
Moldova,,8,,Timber and diversity exposed zone
Mongolia,,8,,Timber and diversity exposed zone
Montenegro,,8,,Timber and diversity exposed zone
Morocco,,8,,Timber and diversity exposed zone
Mozambique,,8,,Timber and diversity exposed zone
Myanmar,,8,,Timber and diversity exposed zone
Namibia,,8,,Timber and diversity exposed zone
Nepal,,8,,Timber and diversity exposed zone
New Caledonia,,8,,Timber and diversity exposed zone
New Zealand,,8,,Timber and diversity exposed zone
Nicaragua,,8,,Timber and diversity exposed zone
Niger,,8,,Timber and diversity exposed zone
Nigeria,,8,,Timber and diversity exposed zone
North Macedonia,,8,,Timber and diversity exposed zone
Northern Cyprus,,8,,Timber and diversity exposed zone
Norway,118543.05978846,8,0.297850897447357,Timber and diversity exposed zone
Oman,,8,,Timber and diversity exposed zone
Pakistan,,8,,Timber and diversity exposed zone
Palestine,,8,,Timber and diversity exposed zone
Panama,,8,,Timber and diversity exposed zone
Papua New Guinea,,8,,Timber and diversity exposed zone
Paraguay,,8,,Timber and diversity exposed zone
Peru,,8,,Timber and diversity exposed zone
Philippines,,8,,Timber and diversity exposed zone
Puerto Rico,,8,,Timber and diversity exposed zone
Qatar,,8,,Timber and diversity exposed zone
Republic of Korea,9910.13256450577,8,0.100057510959733,Timber and diversity exposed zone
Republic of the Congo,,8,,Timber and diversity exposed zone
Russian Federation,6955.83187478027,8,0.000408721617551176,Timber and diversity exposed zone
Rwanda,,8,,Timber and diversity exposed zone
Saudi Arabia,,8,,Timber and diversity exposed zone
Senegal,,8,,Timber and diversity exposed zone
Serbia,,8,,Timber and diversity exposed zone
Sierra Leone,,8,,Timber and diversity exposed zone
Solomon Islands,,8,,Timber and diversity exposed zone
Somalia,,8,,Timber and diversity exposed zone
Somaliland,,8,,Timber and diversity exposed zone
South Africa,,8,,Timber and diversity exposed zone
South Sudan,,8,,Timber and diversity exposed zone
Sri Lanka,,8,,Timber and diversity exposed zone
Sudan,,8,,Timber and diversity exposed zone
Suriname,,8,,Timber and diversity exposed zone
Switzerland,,8,,Timber and diversity exposed zone
Syria,,8,,Timber and diversity exposed zone
Tajikistan,,8,,Timber and diversity exposed zone
Tanzania,,8,,Timber and diversity exposed zone
Thailand,,8,,Timber and diversity exposed zone
The Gambia,,8,,Timber and diversity exposed zone
Timor-Leste,,8,,Timber and diversity exposed zone
Togo,,8,,Timber and diversity exposed zone
Trinidad and Tobago,,8,,Timber and diversity exposed zone
Tunisia,,8,,Timber and diversity exposed zone
Turkey,,8,,Timber and diversity exposed zone
Turkmenistan,,8,,Timber and diversity exposed zone
Uganda,,8,,Timber and diversity exposed zone
Ukraine,,8,,Timber and diversity exposed zone
United Arab Emirates,,8,,Timber and diversity exposed zone
United Kingdom,,8,,Timber and diversity exposed zone
United States,4814371.36857262,8,0.506203457275352,Timber and diversity exposed zone
Uruguay,,8,,Timber and diversity exposed zone
Uzbekistan,,8,,Timber and diversity exposed zone
Vanuatu,,8,,Timber and diversity exposed zone
Venezuela,,8,,Timber and diversity exposed zone
Vietnam,,8,,Timber and diversity exposed zone
Western Sahara,,8,,Timber and diversity exposed zone
Yemen,,8,,Timber and diversity exposed zone
Zambia,,8,,Timber and diversity exposed zone
Zimbabwe,,8,,Timber and diversity exposed zone
Afghanistan,,10,,Timber and carbon exposed zone
Albania,,10,,Timber and carbon exposed zone
Algeria,,10,,Timber and carbon exposed zone
Angola,,10,,Timber and carbon exposed zone
Argentina,,10,,Timber and carbon exposed zone
Armenia,,10,,Timber and carbon exposed zone
Australia,,10,,Timber and carbon exposed zone
Azerbaijan,,10,,Timber and carbon exposed zone
Bahamas,,10,,Timber and carbon exposed zone
Bangladesh,,10,,Timber and carbon exposed zone
Belarus,14597.6729163445,10,0.0698554106757544,Timber and carbon exposed zone
Belize,,10,,Timber and carbon exposed zone
Benin,,10,,Timber and carbon exposed zone
Bhutan,,10,,Timber and carbon exposed zone
Bolivia,,10,,Timber and carbon exposed zone
Bosnia and Herzegovina,,10,,Timber and carbon exposed zone
Botswana,,10,,Timber and carbon exposed zone
Brazil,,10,,Timber and carbon exposed zone
Brunei Darussalam,,10,,Timber and carbon exposed zone
Burkina Faso,,10,,Timber and carbon exposed zone
Burundi,,10,,Timber and carbon exposed zone
Cambodia,,10,,Timber and carbon exposed zone
Cameroon,,10,,Timber and carbon exposed zone
Canada,1147644.11765356,10,0.114352252126594,Timber and carbon exposed zone
Central African Republic,,10,,Timber and carbon exposed zone
Chad,,10,,Timber and carbon exposed zone
Chile,,10,,Timber and carbon exposed zone
China,,10,,Timber and carbon exposed zone
Colombia,,10,,Timber and carbon exposed zone
Costa Rica,,10,,Timber and carbon exposed zone
Cote d'Ivoire,,10,,Timber and carbon exposed zone
Cuba,,10,,Timber and carbon exposed zone
Dem. Rep. Korea,,10,,Timber and carbon exposed zone
Democratic Republic of the Congo,,10,,Timber and carbon exposed zone
Djibouti,,10,,Timber and carbon exposed zone
Dominican Republic,,10,,Timber and carbon exposed zone
Ecuador,,10,,Timber and carbon exposed zone
Egypt,,10,,Timber and carbon exposed zone
El Salvador,,10,,Timber and carbon exposed zone
Equatorial Guinea,,10,,Timber and carbon exposed zone
Eritrea,,10,,Timber and carbon exposed zone
Ethiopia,,10,,Timber and carbon exposed zone
EU,30856790.2164821,10,7.4434347337454,Timber and carbon exposed zone
Fiji,,10,,Timber and carbon exposed zone
Franch_GYN,,10,,Timber and carbon exposed zone
Gabon,,10,,Timber and carbon exposed zone
Georgia,,10,,Timber and carbon exposed zone
